dataset,pipeline,signal,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id
YAHOOA4,U_aer,A4Benchmark-TS56,0,0.7692307692307693,0.625,1.0,,0,6,10,OK,21.777884,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS57,0,0.9090909090909091,0.8333333333333334,1.0,,0,1,5,OK,21.89482,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS58,0,0.18181818181818182,0.125,0.3333333333333333,,2,7,1,OK,21.340179,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS59,0,0.0,0.0,0.0,,1,1,0,OK,17.261795,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS5,0,1.0,1.0,1.0,,0,0,6,OK,21.862202,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS60,0,0.7499999999999999,1.0,0.6,,2,0,3,OK,21.824862,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS61,0,1.0,1.0,1.0,,0,0,3,OK,21.825025,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS62,0,0.4444444444444445,0.2857142857142857,1.0,,0,10,4,OK,15.016359,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS63,0,1.0,1.0,1.0,,0,0,7,OK,21.789008,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS64,0,0.7499999999999999,0.6,1.0,,0,2,3,OK,21.915701,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS65,0,0.8,0.6666666666666666,1.0,,0,5,10,OK,21.853743,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS66,0,0.0,0.0,0.0,,3,1,0,OK,21.478346,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS67,0,0.8333333333333333,0.7142857142857143,1.0,,0,4,10,OK,21.233284,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS68,0,1.0,1.0,1.0,,0,0,1,OK,22.068089,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS69,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,21.715452,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS6,0,1.0,1.0,1.0,,0,0,8,OK,21.871449,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS70,0,1.0,1.0,1.0,,0,0,4,OK,21.463997,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS71,0,0.18181818181818182,0.1,1.0,,0,9,1,OK,21.788092,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS72,0,0.7499999999999999,0.6,1.0,,0,2,3,OK,21.729892,False,61368e85-0
